keys;en;pt
OCEAN_FINAL_UI_FR_FACT_LABEL;Fun Fact: ;Curiosidade: 
OCEAN_FINAL_UI_FR_FACT_CONTENT;Male humpback whales produce complex songs on the breeding grounds.;As baleias-de-bossa machos produzem canções complexas nas áreas de reprodução.
OCEAN_FINAL_UI_SOUNDSCAPE_TITLE;Acoustic Soundscape;Paisagem Acústica
OCEAN_FINAL_UI_SOUNDSCAPE_SUBTITLE;Continental Shelf;Plataforma Continental
OCEAN_FINAL_UI_SOUNDSCAPE_SOUNDS_LABEL;Natural Environmental Sounds:;Sons naturais do ambiente:
OCEAN_FINAL_UI_SOUNDSCAPE_SOUNDS_CONTENT;• Continuous repetitions of intense clicks from common dolphins indicate active hunting.\n• Occasional whistles reflect communication among group members.\n• Low-frequency sounds from fin whales can travel long distances.\n• The presence of orcas transforms the acoustic scene with characteristic top predator sounds.\n• Dolphins respond to orca sounds with whistles and scatter in flight.;• Repetições contínuas de cliques intensos dos golfinhos-comuns indicam caça ativa.\n• Assobios ocasionais refletem comunicação entre membros do grupo.\n• Sons da baleia-comum são de baixa frequência, podendo percorrer grandes distâncias.\n• Aparição de orcas transforma o cenário acústico com sons característicos de predadores de topo.\n• Golfinhos respondem ao som das orcas com assobios e dispersão em fuga.
OCEAN_FINAL_UI_SOUNDSCAPE_SOUNDS_CONTENT_HD;• Clicks for hunting.\n• Whistles for communication\n;• Cliques para caça ativa.\n• Assobios para comunicação
OCEAN_FINAL_UI_SOUNDSCAPE_IMPACTS_LABEL;Impact of Vessels:;Impacto das embarcações:
OCEAN_FINAL_UI_SOUNDSCAPE_IMPACTS_CONTENT;• As boats approach, dolphins display curiosity, interacting with the vessel but ceasing feeding activities.\n• Boat noise can lead to impacts such as reduced vocalizations and changes in animal behavior.;• Com a aproximação do barco, os golfinhos mostram curiosidade, interagindo com a embarcação, porém cessando a atividade de alimentação.\n• O ruído de barcos pode causar impactos como diminuição das vocalizações e mudança de comportamento nos animais.
OCEAN_FINAL_UI_SOUNDSCAPE_IMPACTS_CONTENT_HD;• Boat noise can lead to negative impacts (reduced vocalizations and feeding disruption).;• O ruído de barcos pode causar impactos negativos (diminuição das vocalizações e interrupção de alimentação).
